t, r
0.396,13.1
0.397,7.6
0.398,3.3
0.399,-0.8
0.4,-7
0.401,-9
0.402,-3
0.403,-1
0.404,-6.8
0.405,-10.1
0.406,-9.7
0.407,-7.4
0.408,-3.7
0.409,-0.5
0.41,0.5
0.411,0.4
0.412,0.6
0.413,6.1
0.414,15
0.415,19.7
0.416,14.1
0.417,1.8
0.418,-4.5
0.419,-4.3
0.42,-4.4
0.421,-3.6
0.422,1.4
0.423,5.1
0.424,2.3
0.425,-0.1
0.426,6.4
0.427,17.5
0.428,14
0.429,-7.1
0.43,-14.7
0.431,-1.9
0.432,6.9
0.433,5.7
0.434,9.8
0.435,8.1
0.436,-12.5
0.437,-19.2
0.438,-6.4
0.439,2.7
0.44,1
0.441,-5.2
0.442,-11
0.443,-12.4
0.444,-10.8
0.445,-7.6
0.446,-2.3
0.447,4.7
0.448,12.5
0.449,19
0.45,13.2
0.451,-1.1
0.452,-4.2
0.453,2.5
0.454,6.9
0.455,7.7
0.456,8
0.457,5.5
0.458,-0.2
0.459,-1.5
0.46,3
0.461,9.4
0.462,14.2
0.463,15.8
0.464,12.8
0.465,3.7
0.466,-0.8
0.467,5.6
0.468,13.6
0.469,20.7
0.47,25.8
0.471,23
0.472,19.7
0.473,25.5
0.474,28.9
0.475,22.1
0.476,21.8
0.477,28
0.478,16.1
0.479,-6
0.48,1.5
0.481,26.9
0.482,35.8
0.483,31.4
0.484,22.2
0.485,11.4
0.486,9.2
0.487,12.8
0.488,15.8
0.489,19.1
0.49,29.8
0.491,51.8
0.492,62.6
0.493,49.6
0.494,37.1
0.495,42
0.496,51.4
0.497,57.6
0.498,56.6
0.499,50.1
0.5,57.8
0.501,77.8
0.502,90
0.503,92.1
0.504,93.3
0.505,97.2
0.506,106
0.507,121.8
0.508,137.4
0.509,144.8
0.51,140.9
0.511,139.5
0.512,149.1
0.513,164.4
0.514,171.4
0.515,170.7
0.516,177.6
0.517,193
0.518,202.5
0.519,204.3
0.52,209.1
0.521,217.5
0.522,221.6
0.523,214.5
0.524,203.8
0.525,210.5
0.526,240.2
0.527,261.3
0.528,253.3
0.529,235
0.53,232.4
0.531,246.6
0.532,264.6
0.533,263.1
0.534,246.3
0.535,251.3
0.536,267.1
0.537,265.7
0.538,252
0.539,246.6
0.54,252.6
0.541,264.8
0.542,270.8
0.543,266
0.544,261.6
0.545,260.3
0.546,258.7
0.547,252.2
0.548,245.8
0.549,252.2
0.55,269
0.551,281.3
0.552,278.5
0.553,270
0.554,268.8
0.555,273.8
0.556,275.3
0.557,268.1
0.558,261
0.559,264.4
0.56,276
