t, r
3.67,44.555
3.68,42.368
3.69,46.029
3.7,40.982
3.71,64.652
3.72,42.492
3.73,30.416
3.74,8.3446
3.75,-14.427
3.76,-22.592
3.77,-9.3886
3.78,-12.287
3.79,-8.5403
3.8,-15.283
3.81,-12.673
3.82,-13.014
3.83,4.8202
3.84,6.1744
3.85,-0.69966
3.86,-10.774
3.87,-5.9311
3.88,-6.9458
3.89,-0.15356
3.9,0.28685
3.91,-2.5023
3.92,-13.365
3.93,-13.828
3.94,-12.58
3.95,-10.059
3.96,-12.457
3.97,-10.58
3.98,-13.788
3.99,-9.5434
