t, y
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,-0.2062
0.24,2.1264
0.25,22.681
0.26,17.874
0.27,-1.88
0.28,-0.019702
0.29,-0.076532
0.3,-3.157
0.31,2.6299
0.32,14.71
0.33,1.7338
0.34,7.9344
0.35,22.873
0.36,15.994
0.37,15.497
0.38,0.12824
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0.70833
0.5,29.256
0.51,31.3
0.52,29.823
0.53,75.806
0.54,153.84
0.55,214.79
0.56,251.96
0.57,250.15
0.58,265.13
0.59,257.38
0.6,226.76
0.61,210.61
0.62,187.58
0.63,155.28
0.64,122.55
0.65,126.4
0.66,94.172
0.67,93.75
0.68,93.328
0.69,61.021
0.7,62.343
0.71,62.5
0.72,61.792
0.73,33.038
0.74,32.616
0.75,29.063
0.76,31.093
0.77,31.25
0.78,31.25
0.79,31.25
0.8,31.25
0.81,31.25
0.82,31.407
0.83,32.857
0.84,16.179
0.85,22.957
0.86,-0.84978
0.87,22.82
0.88,0.4971
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,-0.13216
0.95,7.3001
0.96,1.0755
0.97,-32.935
0.98,-32.115
0.99,-59.797
1,-33.45
1.01,-30.967
1.02,-29.008
1.03,-61.013
1.04,-31.958
1.05,-31.25
1.06,-31.25
1.07,-31.25
1.08,-31.25
1.09,-31.25
1.1,-31.25
1.11,-31.25
1.12,-31.25
1.13,-31.25
1.14,-31.25
1.15,-31.25
1.16,-31.25
1.17,-31.25
1.18,-31.25
1.19,-31.25
1.2,-31.25
1.21,-31.25
1.22,-31.25
1.23,-31.25
1.24,-31.25
1.25,-31.25
1.26,-31.25
1.27,-30.542
1.28,-1.9942
1.29,-6.7763e-18
1.3,1.866
1.31,14.917
1.32,0.12824
1.33,0
1.34,0
1.35,-0.05683
1.36,-0.69693
1.37,-1.4505
1.38,1.9745
1.39,30.542
1.4,31.757
1.41,-2.5808
1.42,7.5103
1.43,-1.9761
1.44,-0.15659
1.45,0
1.46,0
1.47,0
1.48,0
1.49,-0.1865
1.5,3.7459
1.51,-2.5922
1.52,8.1949
1.53,28.262
1.54,-22.533
1.55,-30.875
1.56,-64.949
1.57,-62.653
1.58,-65.446
1.59,-54.116
1.6,-54.624
1.61,-31.747
1.62,-31.398
1.63,-48.627
1.64,-29.37
1.65,-31.23
1.66,-31.25
1.67,-31.25
1.68,-31.044
1.69,-33.116
1.7,-46.167
1.71,-31.378
1.72,-31.25
1.73,-31.25
1.74,-31.25
1.75,-31.25
1.76,-31.118
1.77,-38.55
1.78,-32.875
1.79,-46.541
1.8,-46.541
1.81,-33.244
1.82,-45.96
1.83,-32.951
1.84,-29.484
1.85,-63.325
1.86,-39.415
1.87,-30.113
1.88,-42.204
1.89,-54.436
1.9,-62.632
1.91,-63.007
1.92,-28.801
1.93,-31.173
1.94,-31.25
1.95,-31.25
1.96,-31.25
1.97,-31.25
1.98,-31.25
1.99,-31.327
2,-34.407
2.01,-28.251
2.02,-8.2146
2.03,0.13216
2.04,0
2.05,0
2.06,0
2.07,0
2.08,0
2.09,0
2.1,0
2.11,0
2.12,0
2.13,0
2.14,0
2.15,0
2.16,0
2.17,0
2.18,0
2.19,0
2.2,0
2.21,0
2.22,0
2.23,0
2.24,0
2.25,0
2.26,0
2.27,0.4971
2.28,23.113
2.29,16.465
2.3,28.887
2.31,8.0084
2.32,1.7338
2.33,15.045
2.34,15.83
2.35,33.57
2.36,-0.50747
2.37,0
2.38,0
2.39,-0.05683
2.4,-0.69693
2.41,-1.264
2.42,-1.8997
2.43,17.874
2.44,23.897
2.45,-2.3165
2.46,-0.076532
2.47,0
2.48,0
2.49,0.12824
2.5,15.625
2.51,30.965
2.52,29.143
2.53,31.684
2.54,83.949
2.55,152.96
2.56,208.77
2.57,252.59
2.58,278.57
2.59,252.2
2.6,249.37
2.61,217.8
2.62,186.78
2.63,146.29
2.64,109.98
2.65,85.87
2.66,62.869
2.67,46.875
2.68,31.584
2.69,29.256
2.7,0.70833
2.71,0
2.72,0
2.73,0
2.74,0
2.75,0
2.76,-0.70833
2.77,-29.256
2.78,-31.456
2.79,-31.25
2.8,-31.25
2.81,-31.25
2.82,-31.25
2.83,-31.25
2.84,-31.25
2.85,-31.25
2.86,-31.25
2.87,-31.25
2.88,-31.25
2.89,-31.25
2.9,-31.25
2.91,-31.25
2.92,-31.25
2.93,-31.25
2.94,-31.25
2.95,-31.25
2.96,-31.25
2.97,-31.327
2.98,-34.12
2.99,-32.222
3,-31.407
3.01,-31.25
3.02,-31.25
3.03,-31.25
3.04,-32.466
3.05,-26.964
3.06,-32.859
3.07,-0.42162
3.08,0
3.09,0
3.1,0
3.11,0
3.12,0
3.13,0
3.14,0
3.15,0
3.16,0.2062
3.17,-1.2859
3.18,-1.2859
3.19,0.2062
3.2,0
3.21,0
3.22,0
3.23,0
3.24,-0.076532
3.25,-2.4487
3.26,32.466
3.27,60.506
3.28,62.706
3.29,62.5
3.3,62.003
3.31,39.967
3.32,60.374
3.33,62.706
3.34,62.5
3.35,62.5
3.36,62.706
3.37,61.214
3.38,61.214
3.39,62.706
3.4,62.5
3.41,62.5
3.42,62.5
3.43,62.5
3.44,62.372
3.45,46.875
3.46,31.378
3.47,31.672
3.48,64.111
3.49,55.07
3.5,64.476
3.51,62.657
3.52,62.372
3.53,46.875
3.54,31.378
3.55,31.958
3.56,60.638
3.57,54.19
3.58,65.652
3.59,61.291
3.6,61.214
3.61,62.706
3.62,62.5
3.63,62.5
3.64,62.5
3.65,62.5
3.66,62.003
3.67,39.258
3.68,31.118
3.69,31.25
3.7,31.25
3.71,31.25
3.72,31.173
3.73,28.801
3.74,62.299
3.75,33.244
3.76,30.622
3.77,-2.1874
3.78,-29.412
3.79,-31.964
3.8,2.4487
3.81,0.076532
3.82,-0.12824
3.83,-15.203
3.84,1.6073
3.85,0.15659
3.86,0
3.87,0
3.88,0
3.89,0
3.9,0
3.91,0
3.92,0
3.93,0
3.94,0.13216
3.95,-7.5113
3.96,-7.5113
3.97,0.13216
3.98,0
3.99,0
